,minutes,id,comment,time,time_minutes,corrected_comment,nouns,nouns_filtered,nouns_filtered_flatten,event,comment_cnt
0,0,['시네마멘'],['식하'],['2023-02-20 00:37:26'],[0.0],['지하'],"[""['지하']""]",[[]],[],0.0,1
1,7,['식스맨TV축구해설'],['라인업 - 케인 히샬리송 클루셉스키 데이비스 로얄 스킵 호이비에르 랑글레 다이어 로메로 포스터 (손흥민 벤치명단)'],['2023-02-20 00:45:06'],[7.667],['라인업  케인 히샬리송 클루셉스키 데이비스 로열 스킵 호이지에 르 랑글레 다이어 로메로 포스터 손흥민 벤치 명단'],"[""['라인업', '케인', '히샬리송', '클루', '스키', '데이비스', '로열', '스킵', '호', '이지', '르', '랑글레', '로메', '포스터', '손흥민', '벤치', '명단']""]","[['라인업', '케인', '히샬리송', '데이비스', '로열', '스킵', '이지', '랑글레', '로메', '포스터', '손흥민', '벤치']]","['라인업', '케인', '히샬리송', '데이비스', '로열', '스킵', '이지', '랑글레', '로메', '포스터', '손흥민', '벤치']",0.0,1
2,22,"['식스맨TV축구해설', '식스맨TV축구해설']","['어서들 오세요^^', '1시30분 킥오프입니다. 스트리밍은 1시15분이후에 진행예정입니다']","['2023-02-20 00:59:44', '2023-02-20 01:00:02']","[22.3, 22.6]","['어서들 오세요', '1시 30분 킥오프입니다 스트리밍은 1시 15분 이후에 진행 예정입니다']","[""['어서']"", ""['킥', '오프', '스트리밍', '이후', '진행', '예정']""]","[['어서'], []]",['어서'],0.0,2
3,31,['시네마멘'],['오늘경기 이기면 4위'],['2023-02-20 01:09:17'],[31.85],['오늘 경기 이기면 4위'],"[""['오늘', '경기', '이기', '위']""]","[['오늘', '경기']]","['오늘', '경기']",0.0,1
4,36,"['식스맨TV축구해설', '식스맨TV축구해설']","['~~~~~', '좋은 주말 보내셨나요~^^']","['2023-02-20 01:13:30', '2023-02-20 01:13:42']","[36.067, 36.267]","[nan, '좋은 주말 보내셨나요']","['[]', ""['주말']""]","[[], []]",[],0.0,2
5,38,"['서경원', 'Sung Han', 'GARANG HWANG', '일루왕', '김부근', '김대준', 'ji young', '김마야📣', '어흥!!', '올라라', '하전', '겨울아이', 'Ark', '김마야📣', 'Euisuk Jung', 'Sang hwa kwon', '김챠트', '백화영']","['반갑습니다', '안녕하십니까! ', '반갑습니다', '안녕하심미끄아아아아', '안녕하세요', '최고의 입담! 오늘도 감사히 잘 보겠습니다.', '반가워요', '안뇽~~~:heart_suit:', '안녕하세용!!!♡', '반갑습니다', '안녕하세요', '안녕하세요.....귀에 쏙쏙 들어오는 식스맨님 중계 기다리고 있습니다...', '기다리다 방금 들어왔습니다.', '대장님~:heart_suit:', '반갑습니다 식스맨스', '안녕하세요.오늘도수고하세요.감사합니다.', '반갑습니다 ..... ', '안녕하세요!!! 오늘도 중계 잘 부탁드립니다!!']","['2023-02-20 01:15:38', '2023-02-20 01:15:40', '2023-02-20 01:15:49', '2023-02-20 01:15:56', '2023-02-20 01:15:57', '2023-02-20 01:15:59', '2023-02-20 01:16:05', '2023-02-20 01:16:07', '2023-02-20 01:16:08', '2023-02-20 01:16:10', '2023-02-20 01:16:12', '2023-02-20 01:16:16', '2023-02-20 01:16:18', '2023-02-20 01:16:20', '2023-02-20 01:16:21', '2023-02-20 01:16:24', '2023-02-20 01:16:25', '2023-02-20 01:16:25']","[38.2, 38.233, 38.383, 38.5, 38.517, 38.55, 38.65, 38.683, 38.7, 38.733, 38.767, 38.833, 38.867, 38.9, 38.917, 38.967, 38.983, 38.983]","['반갑습니다', '안녕하십니까 ', '반갑습니다', '안녕하심미끄아아아아', '안녕하세요', '최고의 입담 오늘도 감사히 잘 보겠습니다', '반가워요', '안녕 heartsuit', '안녕하세요', '반갑습니다', '안녕하세요', '안녕하세요 귀에 쏙쏙 들어오는 식스맨님 중계 기다리고 있습니다', '기다리다 방금 들어왔습니다', '대장님 heartsuit', '반갑습니다 식스 맨스', '안녕하세요 오늘도 수고하세요 감사합니다', '반갑습니다  ', '안녕하세요 오늘도 중계 잘 부탁드립니다']","['[]', ""['안녕하십니까']"", '[]', ""['심']"", '[]', ""['최고', '입담', '오늘']"", '[]', ""['안녕']"", '[]', '[]', '[]', ""['귀', '쏙쏙', '식스', '맨', '중계']"", ""['방금']"", ""['대장님']"", ""['식스', '맨스']"", ""['오늘', '수고']"", '[]', ""['오늘', '중계']""]","[[], [], [], [], [], ['최고', '오늘'], [], ['안녕'], [], [], [], ['식스', '중계'], [], [], ['식스'], ['오늘', '수고'], [], ['오늘', '중계']]","['최고', '오늘', '안녕', '식스', '중계', '식스', '오늘', '수고', '오늘', '중계']",0.0,18
6,39,"['박 새울', '김마야📣', 'coctrine shin', '송시영', '오중교', '뭐어때', 'Nam Kim', '서경원', '김마야📣', 'coctrine shin', '김마야📣', '박종호', 'jay park']","['안녕하세요. 손흥민골 기대합니다', '일루왕님~:heart_suit:', '식스팬', '손흥민3골 넘음', '수고하십니다! 감사합니다 ^^♡♡', '안녕하세요', '18번', '쏘니 빼서 잠자야 되나', ':yt:구독 :thumbs_up:좋아요 클릭클릭~~', '아녕하세요', ':yt:구독 :thumbs_up:좋아요 클릭클릭~~', '요즘은 왜 아라 못하나요 ', '충성. 우리 흥민이 벤치 스타트인가요? 재미 없게...']","['2023-02-20 01:16:26', '2023-02-20 01:16:29', '2023-02-20 01:16:31', '2023-02-20 01:16:37', '2023-02-20 01:16:43', '2023-02-20 01:16:44', '2023-02-20 01:16:47', '2023-02-20 01:16:57', '2023-02-20 01:17:07', '2023-02-20 01:17:08', '2023-02-20 01:17:17', '2023-02-20 01:17:19', '2023-02-20 01:17:20']","[39.0, 39.05, 39.083, 39.183, 39.283, 39.3, 39.35, 39.517, 39.683, 39.7, 39.85, 39.883, 39.9]","['안녕하세요 손흥민 골 기대합니다', '일루 왕님 heartsuit', '식스팬', '손흥민 3골 넘음', '수고하십니다 감사합니다 ', '안녕하세요', '18번', '쏘니 빼서 잠 자야 되나', 'yt 구독 thumbsup 좋아요 클릭클릭', '안녕하세요', 'yt 구독 thumbsup 좋아요 클릭클릭', '요즘은 왜 아라 못하나요 ', '충성 우리 흥민이 벤치 스타트인가요 재미없게']","[""['손흥민', '골']"", ""['일루', '왕']"", ""['식스', '팬']"", ""['손흥민', '골']"", ""['수고']"", '[]', ""['번']"", ""['잠']"", ""['구독', '클릭', '클릭']"", '[]', ""['구독', '클릭', '클릭']"", ""['요즘', '왜', '못', '하나요']"", ""['충성', '우리', '흥민', '벤치', '스타트']""]","[['손흥민', '골'], [], ['식스'], ['손흥민', '골'], ['수고'], [], [], [], ['구독'], [], ['구독'], ['요즘'], ['우리', '흥민', '벤치']]","['손흥민', '골', '식스', '손흥민', '골', '수고', '구독', '구독', '요즘', '우리', '흥민', '벤치']",0.0,13
7,40,"['김마야📣', '파엘', '백화영', '정연순', '김마야📣', '박 새울', '김마야📣', 'Euisuk Jung', '서경원', 'Venus', 'Venus', '김마야📣']","['쏘니. 모우라. 포로. 단주마. 페리싫지 벤치', '안녕하세요 ~^^', '오늘 손흥민 득점 꼭 하길 바래요ㅠㅠ!!', '안녕하세요. 식스맨님!', ':sun_with_face:어서오세요~~', '안녕하세요 ㅎㅎ', ':yt:구독 :thumbs_up:좋아요 클릭클릭~~', '쏘니는 벤치에서', '애휴', '안녕하세요 :heart_suit:', '마야:heart_suit::heart_suit::heart_suit:', '비너쮸~:heart_suit:']","['2023-02-20 01:17:35', '2023-02-20 01:17:45', '2023-02-20 01:17:52', '2023-02-20 01:17:54', '2023-02-20 01:17:57', '2023-02-20 01:17:58', '2023-02-20 01:18:08', '2023-02-20 01:18:09', '2023-02-20 01:18:11', '2023-02-20 01:18:14', '2023-02-20 01:18:23', '2023-02-20 01:18:23']","[40.15, 40.317, 40.433, 40.467, 40.517, 40.533, 40.7, 40.717, 40.75, 40.8, 40.95, 40.95]","['쏘니 모우라 포로 단주마 페리 싫지 벤치', '안녕하세요 ', '오늘 손흥민 득점 꼭 하길 바라요', '안녕하세요 식스맨님', 'sunwithface 어서 오세요', '안녕하세요 ', 'yt 구독 thumbsup 좋아요 클릭클릭', '쏘니는 벤치에서', '아휴', '안녕하세요 heartsuit', '마야 heartsuitheartsuitheartsuit', '비너쮸heartsuit']","[""['모우', '포로', '주마', '페리', '벤치']"", '[]', ""['오늘', '손흥민', '득점', '꼭']"", ""['식스', '맨']"", ""['어서']"", '[]', ""['구독', '클릭', '클릭']"", ""['벤치']"", '[]', '[]', ""['마야']"", ""['비너쮸']""]","[['모우', '포로', '주마', '페리', '벤치'], [], ['오늘', '손흥민', '득점'], ['식스'], ['어서'], [], ['구독'], ['벤치'], [], [], ['마야'], []]","['모우', '포로', '주마', '페리', '벤치', '오늘', '손흥민', '득점', '식스', '어서', '구독', '벤치', '마야']",0.0,12
8,41,"['Ground', '정일권', '노티플', '울산아지매', '일루왕', 'kim 지민', '김마야📣', 'KYU YANG', '정연순', '김마야📣', '일루왕', '방라뭉', '뭐어때', '김마야📣', 'Venus']","['안녕하세요 ^^', '안녕하세요 ^^', '페리시치랑 같이 교체들어오면 경기력이 똑같아지는데', '출석완료 오늘도 달려봅시다', '페리시치랑 같이 안뛰는걸 좀 보고싶다고 이 토트넘 수뇌부들아아아아!!! 빼려면 둘중 하나만 빼라제발. .후반에 또 같이 처 집어넣지말고. .', '안녕하세요 ~~~', ':yt:구독 :thumbs_up:좋아요 클릭클릭~~', '벤치까지 페리와 같이 왜?', '우리 쏘니 선발아니라 많이 속상합니다.', ':yt:구독 :thumbs_up:좋아요 클릭클릭~~', '사랑에 비너스님 감자공주님 어섭셔~~', '안녕하세요~~~~~~~~~~~~~~~~~~', '페리 벤치 있을때 같이 쉬게하는건 뭔가요 참나 거시기하네', ':yt:구독 :thumbs_up:좋아요 클릭클릭~~', '일루왕님 안녕하십니꽈 :heart_suit:']","['2023-02-20 01:18:37', '2023-02-20 01:18:38', '2023-02-20 01:18:39', '2023-02-20 01:18:43', '2023-02-20 01:18:44', '2023-02-20 01:18:46', '2023-02-20 01:18:46', '2023-02-20 01:18:50', '2023-02-20 01:18:51', '2023-02-20 01:19:02', '2023-02-20 01:19:03', '2023-02-20 01:19:04', '2023-02-20 01:19:11', '2023-02-20 01:19:16', '2023-02-20 01:19:18']","[41.183, 41.2, 41.217, 41.283, 41.3, 41.333, 41.333, 41.4, 41.417, 41.6, 41.617, 41.633, 41.75, 41.833, 41.867]","['안녕하세요 ', '안녕하세요 ', '페리 수치랑 같이 교체 들어오면 경기력이 똑같아지는데', '출석 완료 오늘도 달려봅시다', '페리 수치랑 같이 안 뛰는 걸 좀 보고 싶다고 이 토트넘 수뇌부들아 아아아 빼려면 둘 중 하나만 빼라 제발 후반에 또 같이 처 집어넣지 말고 ', '안녕하세요 ', 'yt 구독 thumbsup 좋아요 클릭클릭', '벤치까지 페리와 같이 왜', '우리 쏘니 선발 아니라 많이 속상합니다', 'yt 구독 thumbsup 좋아요 클릭클릭', '사랑에 비너스님 감자 공주님 어섭셔', '안녕하세요', '페리 벤치 있을 때같이 쉬게 하는 건 뭔가요 참나 거시기하네', 'yt 구독 thumbsup 좋아요 클릭클릭', '일루 왕님 안녕하십니꽈 heartsuit']","['[]', '[]', ""['페리', '수치', '교체', '경기']"", ""['출석', '완료', '오늘']"", ""['페리', '수치', '안', '걸', '좀', '보고', '이', '토트넘', '수뇌부', '아아', '둘', '중', '하나', '빼', '제발', '후반', '또', '처']"", '[]', ""['구독', '클릭', '클릭']"", ""['벤치', '페리', '왜']"", ""['우리', '선발']"", ""['구독', '클릭', '클릭']"", ""['사랑', '비너스', '감자', '공주', '어섭셔']"", '[]', ""['페리', '벤치', '때', '쉬', '건', '뭔가', '참나', '거']"", ""['구독', '클릭', '클릭']"", ""['일루', '왕', '꽈']""]","[[], [], ['페리', '교체', '경기'], ['오늘'], ['페리', '보고', '토트넘', '아아', '하나', '제발', '후반'], [], ['구독'], ['벤치', '페리'], ['우리', '선발'], ['구독'], ['사랑', '비너스'], [], ['페리', '벤치', '뭔가'], ['구독'], []]","['페리', '교체', '경기', '오늘', '페리', '보고', '토트넘', '아아', '하나', '제발', '후반', '구독', '벤치', '페리', '우리', '선발', '구독', '사랑', '비너스', '페리', '벤치', '뭔가', '구독']",0.0,15
9,42,"['福來', '방라뭉', '색소폰과함께(제천)', '김마야📣', '롱찌', 'youook en', '김미영', '김마야📣', 'ZiHuN', '일루왕', '김마야📣', 'Nam Kim', '색소폰과함께(제천)', 'kim 지민', '일루왕', '서경원', '카쌤의종이접기NJ_origami', '처어은']","['반갑습니다 첫인사드립니다~~^^', '태국이예요', 'Welcome New Member!', '일루왕님 오늘 컨디션 굿??', '안녕하세오:waving_hand::waving_hand:', '어디서 볼 수 있나요?', '와이 식스맨 설명?', ':sun_with_face:응원과 후원:yt:구독 :thumbs_up:좋아요 감사합니다', '안녕하세요 오랜만에 왔습니다', '섹소폰님 어섭셔어어어', ':sun_with_face:""스포티비 온""에서 유료입니다', '부상이후 흥민부진 흔한현타', '마야님.비너스님.일루왕님.지민님~~~~~~~^^', '마야님 :red_heart:일루왕님 :blue_heart:비너스님 :red_heart: 색스폰님 :blue_heart:롱찌님:red_heart: 모두 안녕요~~', '롱찌님도 어섭셔어어어', '왜 페리랑 같이 빼는지 더 짜증나네', '식스맨님 하이요~', '굿모닝:heart_suit: 아름답고 소중한아침입니다.']","['2023-02-20 01:19:28', '2023-02-20 01:19:30', '2023-02-20 01:19:31', '2023-02-20 01:19:32', '2023-02-20 01:19:39', '2023-02-20 01:19:41', '2023-02-20 01:19:45', '2023-02-20 01:19:45', '2023-02-20 01:19:55', '2023-02-20 01:19:56', '2023-02-20 01:19:57', '2023-02-20 01:20:10', '2023-02-20 01:20:11', '2023-02-20 01:20:16', '2023-02-20 01:20:16', '2023-02-20 01:20:17', '2023-02-20 01:20:18', '2023-02-20 01:20:21']","[42.033, 42.067, 42.083, 42.1, 42.217, 42.25, 42.317, 42.317, 42.483, 42.5, 42.517, 42.733, 42.75, 42.833, 42.833, 42.85, 42.867, 42.917]","['반갑습니다 첫인사드립니다', '태국이에요', 'Welcome New Member', '일루 왕님 오늘 컨디션 굿', '안녕하세요 wavinghandwavinghand', '어디서 볼 수 있나요', '와이 식스맨 설명', 'sunwithface 응원과 후원 yt 구독 thumbsup 좋아요 감사합니다', '안녕하세요 오랜만에 왔습니다', '색소폰님 어섭셔어어어', 'sunwithface 스포티비 온에서 유료입니다', '부상 이후 흥민 부진 흔한 한 타', '마야 님 비너스님 일루 왕님 지민 님', '마야님 redheart 일루와 님 blueheart 비너스님 redheart 색소폰님 blueheart롱찌님redheart 모두 안녕요', '롱 티님도 어섭셔어어어', '왜 페리랑 같이 빼는지 더 짜증 나네', '식스맨님 하이요', '굿모닝 heartsuit 아름답고 소중한 아침입니다']","[""['인사']"", ""['태국']"", '[]', ""['일루', '왕', '오늘', '컨디션', '굿']"", '[]', ""['볼', '수']"", ""['식스', '맨', '설명']"", ""['응원', '후원', '구독']"", ""['만']"", ""['색소폰', '어']"", ""['스포', '티비', '온', '유료']"", ""['부상', '이후', '흥민', '부진', '타']"", ""['마야', '비너스', '일루', '왕', '지민']"", ""['마야', '일루', '비너스', '색소폰', '롱찌', '모두', '안녕']"", ""['롱', '티', '어']"", ""['왜', '페리', '더', '짜증']"", ""['식스', '맨', '하이']"", ""['굿모닝', '아침']""]","[[], [], [], ['오늘', '컨디션'], [], [], ['식스'], ['응원', '구독'], [], ['색소폰'], ['스포', '티비'], ['부상', '흥민'], ['마야', '비너스', '지민'], ['마야', '비너스', '색소폰', '모두', '안녕'], [], ['페리', '짜증'], ['식스'], []]","['오늘', '컨디션', '식스', '응원', '구독', '색소폰', '스포', '티비', '부상', '흥민', '마야', '비너스', '지민', '마야', '비너스', '색소폰', '모두', '안녕', '페리', '짜증', '식스']",0.0,18
