,id,comment,time,corrected_comment,nouns,time_minutes
2047,김해리슨,손흥민 PL 100골 성공하길 ~,2023-02-06 02:22:51,손흥민 PL 100골 성공하길 ,"['손흥민', '골']",70.367
2048,홀로봄,손흥민 맨시티 이적소식 사실인가요?,2023-02-06 02:22:51,손흥민 맨시티 이적 소식 사실인가요,"['손흥민', '맨시티', '이적', '소식', '사실']",70.367
2049,Jin Kim,:statue_of_liberty:,2023-02-06 02:22:53,statueofliberty,[],70.4
2050,샤이닝 세라핀,썸네일 바꾼 직후에 생방 들어오면 가끔 바뀌기 전 썸네일로 뜰 수도 있어요,2023-02-06 02:22:54,섬네일 바꾼 직후에 생방 들어오면 가끔 바뀌기 전 섬네일로 뜰 수도 있어요,"['섬네일', '직후', '생방', '가끔', '전', '섬네일', '뜰', '수도']",70.417
2051,드리머스,오마이갓 제컴이 이상해요 새로고침해도 나폴리로 나오네요 ㅠㅠ,2023-02-06 02:22:55,오마이갓 제컴이 이상해요 새로고침해도 나폴리로 나오네요 ,"['오마이갓', '컴', '새로고침', '나폴리']",70.433
2052,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 02:22:59,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",70.5
2053,샤이닝 세라핀,저도 바뀐건 확인했습니다,2023-02-06 02:23:00,저도 바뀐 건 확인했습니다,"['저', '건', '확인']",70.517
2054,주얼리셰프,썸넬 나폴리로나와요,2023-02-06 02:23:00,썸넬 나폴리로 나와요,"['썸넬', '나폴리']",70.517
2055,워싱턴디씨경성 리무진 써비스,손흥민선수 꼭2골만 넣어주세요,2023-02-06 02:23:01,손흥민 선수 꼭 2골만 넣어주세요,"['손흥민', '선수', '꼭', '골']",70.533
2056,황인성미라클,코리안리거들 골 넣었으면 좋겠습니다,2023-02-06 02:23:03,코리안리거들 골 넣었으면 좋겠습니다,"['코리안리거', '골']",70.567
2057,뮤 뽑은사람,"골들어갈때 몰래보는거 들킬뻔.,.",2023-02-06 02:23:07,골 들어갈 때 몰래 보는 거 들킬 뻔,"['골', '때', '몰래', '거', '뻔']",70.633
2058,M&M Texas,손흥민 이적이 답이다!! 올 여름 반드시 이적해야 함!!,2023-02-06 02:23:08,손흥민 이적이 답이다 올여름 반드시 이적해야 함,"['손흥민', '이적', '답', '올여름', '반드시', '이적', '함']",70.65
2059,라구요,방송 안끄고 계속 진행했던거 같은데,2023-02-06 02:23:10,방송 안 끄고 계속 진행했던 거 같은데,"['방송', '안', '계속', '진행', '거']",70.683
2060,kim 지민,마요르카 이강인 나름 잘했어요~~~ 컨드션은 그다지~~:clapping_hands:,2023-02-06 02:23:12,마요르카 이강인 나름 잘했어요 컨디션은 그다지 clappinghands,"['마요르카', '이강인', '나름', '컨디션', '그다지']",70.717
2061,황인성미라클,코리안리거들 화이팅,2023-02-06 02:23:12,코리안리거들 파이팅,"['코리안리거', '파이팅']",70.717
2062,표한섭,고생많으십니다,2023-02-06 02:23:15,고생 많으십니다,['고생'],70.767
