,id,comment,time,corrected_comment,nouns,time_minutes
5413,Thsgmdasthsl7,히샬 전반 4분에 부상,2023-03-19 01:45:48,히샬 전반 4분에 부상,"['히샬', '전반', '부상']",161.617
5414,보아스,지금 들어왔는데 홍민이 100호골 넣었나요?,2023-03-19 01:45:49,지금 들어왔는데 홍민이 100호 골 넣었나요,"['지금', '홍민', '호', '골']",161.633
5415,j.p,곧 99,2023-03-19 01:45:49,곧 99,['곧'],161.633
5416,김마야📣,10경기,2023-03-19 01:45:50,10경기,['경기'],161.65
5417,KING FC,축구 볼 맛 나네. 아니 들을맛 나네.,2023-03-19 01:45:50,축구 볼 맛 나네 아니 들을 맛 나네,"['축구', '볼', '맛', '맛']",161.65
5418,서유미,순옥님 방가방가 어서오세요,2023-03-19 01:45:52,순옥 님 방가방가 어서 오세요,"['순옥', '방가', '방가', '어서']",161.683
5419,새우깡,손줘라~~~~~~~,2023-03-19 01:45:54,손줘라,['손'],161.717
5420,island,꼴치팀 오늘 죽기살기 ㅋ,2023-03-19 01:45:56,꼴치 팀 오늘 죽기 살기 ,"['팀', '오늘', '살기']",161.75
5421,j.p,현실로 100,2023-03-19 01:45:57,현실로 100,['현실'],161.767
5422,Mj💫,,2023-03-19 01:45:57,,[],161.767
5423,신유현,부상 때문에 교체 아웃임,2023-03-19 01:45:59,부상 때문에 교체 아웃임,"['부상', '때문', '교체', '아웃', '임']",161.8
5424,Hunter K,흥민이 아홉수?,2023-03-19 01:46:00,흥민이 아홉수,"['흥민', '아홉수']",161.817
5425,유하,쏘니100~~,2023-03-19 01:46:00,쏘니 100,[],161.817
5426,이윤희,쏘니 도와주는 사람이 없구나 이어찌통탄할 일인가 ㅜㅜ,2023-03-19 01:46:02,쏘니 도와주는 사람이 없구나 이 어찌 통탄할 일인가 ,"['사람', '이', '어찌', '통탄', '일인']",161.85
5427,sa sa,50어시,2023-03-19 01:46:04,50어시,['어시'],161.883
5428,롱찌,아니.. 로얄님?,2023-03-19 01:46:04,아니 로열님,['로열'],161.883
5429,김마야📣,쏘니:right_arrow:리그 6. 시즌10. epl 99(50어시) 손케 45,2023-03-19 01:46:04,쏘니 rightarrow 리 그 6 시즌 10 epl 9950어시 손해 45,"['리', '그', '시즌', '어시', '손해']",161.883
5430,Thsgmdasthsl7,아직 안넣었어요 ,2023-03-19 01:46:05,아직 안 넣었어요 ,['안'],161.9
5431,서유미,슈퍼쳇 감사합니다,2023-03-19 01:46:06,슈퍼쳇 감사합니다,['슈퍼'],161.917
5432,paul yanni,꼴찌팀들 기살려주는 톳넘,2023-03-19 01:46:06,꼴찌팀들 기 살려주는 톳넘,"['꼴찌팀', '기', '톳']",161.917
5433,t.w,히샬 부상임 ,2023-03-19 01:46:07,히샬 부상임 ,"['히샬', '부상', '임']",161.933
5434,NewWorld,로얄,2023-03-19 01:46:09,로열,['로열'],161.967
5435,kim 지민,로얄 나오네 ㅠ,2023-03-19 01:46:09,로열 나오네 ,['로열'],161.967
5436,히나노 히메노,델리 알리는 날개를 못 피고 있네요 ,2023-03-19 01:46:11,델리 알리는 날개를 못 펴고 있네요 ,"['델리', '날개', '못']",162.0
5437,신유현,주심 존나 카드 안 줌,2023-03-19 01:46:13,주심 존나 카드 안 줌,"['주심', '존나', '카드', '안', '줌']",162.033
5438,석류,애매르숑...나온다..헐;;,2023-03-19 01:46:14,애매르숑나온다헐,"['애매', '르숑']",162.05
5439,NewWorld,로얄,2023-03-19 01:46:16,로열,['로열'],162.083
5440,김마야📣,히샬 부상 out 쿨루셉 in / 벤뎁 부상 out 페리싫지 in,2023-03-19 01:46:17,히샬 부상 out 쿨루셉 in  벤뎁 부상 out 페리 싫지 in,"['히샬', '부상', '쿨루셉', '벤뎁', '부상', '페리']",162.1
5441,라,로얄,2023-03-19 01:46:19,로열,['로열'],162.133
5442,D.C,로얄이다아아 ,2023-03-19 01:46:20,로열이다 아아 ,"['로열', '아아']",162.15
5443,서스펙터,쏘니~~~쐐기골 넣고 마무리 하자~~~^^,2023-03-19 01:46:22,쏘니 쐐기골 넣고 마무리하자,"['쐐기', '골', '마무리']",162.183
5444,最凶で最強に最恐の初心者,이스타수금방송보기역겨워서이사왔음,2023-03-19 01:46:23,이스타 수금 방송 보기 역겨워서 이사 왔음,"['스타', '수금', '방송', '보기', '이사']",162.2
5445,NewWorld,로얄 다 나음,2023-03-19 01:46:23,로열 다 나음,['로열'],162.2
5446,Gold Rose,페리 다시 빼고 로얄 넣어! ㅎ,2023-03-19 01:46:23,페리 다시 빼고 로열 넣어 ,"['페리', '다시', '로열']",162.2
5447,kim 지민,스킵이 경고 :face_screaming_in_fear:,2023-03-19 01:46:25,스킵이 경고 facescreaminginfear,"['스킵', '경고']",162.233
5448,Mist,케인이 흥민이에게 멋진패스해주길,2023-03-19 01:46:30,케인이 흥민이에게 멋진 패스해 주길,"['케인', '흥민', '패스']",162.317
5449,NewWorld,로얄 MOM,2023-03-19 01:46:31,로열 MOM,['로열'],162.333
5450,D.C,코미디언 나온다아 ,2023-03-19 01:46:31,코미디언 나온다 ,['코미디언'],162.333
5451,gou fo,패리 골넣었으니... 역전패 가즈아 꼰대 페리 경질가즈아,2023-03-19 01:46:31,패리 골 넣었으니 역전패 가즈아 꼰대 페리 경질 가즈아,"['패리', '골', '역전패', '가즈', '꼰대', '페리', '경질', '가즈']",162.333
5452,논두렁,모든 축구선수 로망이 트로피 입니다,2023-03-19 01:46:34,모든 축구선수 로망이 트로피입니다,"['모든', '축구선수', '로망', '트로피']",162.383
5453,sunny J,하위권 팀이 너무 잘합니다,2023-03-19 01:46:35,하위권 팀이 너무 잘합니다,"['하위', '팀']",162.4
5454,M&M Texas,손흥민이 최근에 상을 좀 많이 탔다고 선수들이 질투하나?? 100골 달성에 도움을 안주네!!,2023-03-19 01:46:37,손흥민이 최근에 상을 좀 많이 탔다고 선수들이 질투하나 100골 달성에 도움을 안주네,"['손흥민', '최근', '상', '좀', '선수', '질투', '하나', '골', '달성', '도움', '안주']",162.433
5455,진규 김,여기케나다 고생하십니다,2023-03-19 01:46:39,여기 캐나다 고생하십니다,"['여기', '캐나다', '고생']",162.467
5456,sa sa,카드 하나 남겨놔야 부상생겨도 쓰지,2023-03-19 01:46:40,카드 하나 남겨놔야 부상 생겨도 쓰지,"['카드', '하나', '부상']",162.483
5457,롱찌,아니왜 저게 경고임?,2023-03-19 01:46:41,아니 왜 저게 경고임,"['왜', '저', '경고', '임']",162.5
5458,CH405,카드 일관성있게 좀 주지,2023-03-19 01:46:44,카드 일관성 있게 좀 주지,"['카드', '관성', '좀', '주지']",162.55
5459,봉구봉이 형님,스킵 오늘못함,2023-03-19 01:46:44,스킵 오늘 못함,"['스킵', '오늘']",162.55
5460,KING FC,호이비에르+손흥민 (호손신),2023-03-19 01:46:44,호이지에 르 손흥민 호손 시,"['호', '이지', '르', '손흥민', '호손', '시']",162.55
5461,NewWorld,로얄 ....뒷모습만 보여도....MOM,2023-03-19 01:46:45,로열 뒷모습만 보여도 MOM,"['로열', '뒷모습']",162.567
5462,상하이로맨스,이스타 티비는 좀 역겹긴함,2023-03-19 01:46:49,이스타 티브이는 좀 역겹긴 함,"['스타', '티브이', '좀', '함']",162.633
5463,island,스킵 오늘 너무 느리고 안절부절 왜 글치?,2023-03-19 01:46:49,스킵 오늘 너무 느리고 안절부절 왜 글치,"['스킵', '오늘', '왜', '글치']",162.633
5464,D.C,로얄은 웃음버튼 ,2023-03-19 01:46:49,로열은 웃음 버튼 ,"['로열', '웃음', '버튼']",162.633
5465,HYEON SE,오늘 심판 좀 이상하다.......,2023-03-19 01:46:50,오늘 심판 좀 이상하다,"['오늘', '심판', '좀']",162.65
5466,Thsgmdasthsl7,케인이 쏘니한골 어시 해주자 100호골 만들자 제발,2023-03-19 01:46:50,케인이 쏘니 한 골 어시 해주자 100호 골 만들자 제발,"['케인', '골', '어시', '호', '골', '제발']",162.65
5467,Jack Demon,주심~~~ 눈 감고 보나?,2023-03-19 01:46:51,주심 눈 감고 보나,"['주심', '눈', '감고', '보나']",162.667
5468,킴 릴리,주인공은 쏘니:soccer_ball::soccer_ball::soccer_ball::soccer_ball::soccer_ball:100호골 가즈아:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,2023-03-19 01:46:51,주인공은 쏘니 soccerballsoccerballsoccerballsoccerballsoccerball100호 골 가즈아 clappinghandsclappinghandsclappinghandsclappinghandsclappinghandsclappinghandsclappinghandsclappinghandsclappinghandsclappinghandsclappinghands,"['주인공', '호', '골', '가즈']",162.667
5469,kim 지민,선수교체보니 또 점수지키기 콘테 ㅠ ㅠ :face_screaming_in_fear::face_screaming_in_fear:,2023-03-19 01:46:54,선수 교체 보니 또 점수 지키기 콩테   facescreaminginfearfacescreaminginfear,"['선수', '교체', '또', '점수', '콩테']",162.717
5470,양산메퇘지,스킵 귀여움,2023-03-19 01:46:58,스킵 귀여움,"['스킵', '움']",162.783
5471,롱찌,왜 경고인지,2023-03-19 01:47:00,왜 경고인지,"['왜', '경고']",162.817
5472,유용식,쏘니 가자100호골,2023-03-19 01:47:01,쏘니 가자 100호 골,"['호', '골']",162.833
5473,새우깡,주심뭐지?,2023-03-19 01:47:07,주심 뭐지,"['주심', '뭐']",162.933
5474,성미나,사르 쏘니 어시 바람 ㅋ,2023-03-19 01:47:08,사르 쏘니 어시 바람 ,"['사르', '어시', '바람']",162.95
5475,롱찌,포로 나가고 로얄,2023-03-19 01:47:09,포로 나가고 로열,"['포로', '로열']",162.967
5476,신유현,인정 오늘 못함,2023-03-19 01:47:10,인정 오늘 못함,"['인정', '오늘']",162.983
5477,햇살 민,로얄 사르 화이팅,2023-03-19 01:47:11,로열 사르 파이팅,"['로열', '사르', '파이팅']",163.0
5478,(빡e),요리스 언제나오지,2023-03-19 01:47:12,요리스 언제 나오지,"['리스', '언제']",163.017
5479,kim 지민,스킵 전반에 많이 막았음....,2023-03-19 01:47:16,스킵 전반에 많이 막았음,"['스킵', '전반']",163.083
5480,sarahh lee,어시는 누가 했나요,2023-03-19 01:47:20,어시는 누가 했나요,"['어시', '누가']",163.15
5481,NewWorld,로얄 MOM,2023-03-19 01:47:21,로열 MOM,['로열'],163.167
5482,신유현,주심 ㅈㆍ,2023-03-19 01:47:21,주심 ,['주심'],163.167
5483,Chris Kim,100 골골골골,2023-03-19 01:47:22,100 골골 골골,[],163.183
5484,장광수,케인오늘한골했나요,2023-03-19 01:47:22,케인 오늘 한 골 했나요,"['케인', '오늘', '골']",163.183
5485,이윤희,쏘니 화이팅~~^^,2023-03-19 01:47:24,쏘니 파이팅,['파이팅'],163.217
5486,Lim Key,이건 경고 아닙니다 심판 이상하네요,2023-03-19 01:47:24,이건 경고 아닙니다 심판 이상하네요,"['이건', '경고', '심판']",163.217
5487,KING FC,손+호+케 좋아,2023-03-19 01:47:24,선호케 좋아,"['선호', '케']",163.217
5488,Thsgmdasthsl7,그런가요 상을 많이 타서 시기질투???? 설마,2023-03-19 01:47:29,그런가요 상을 많이 타서 시기 질투 설마,"['가요', '상', '시기', '질투', '설마']",163.3
5489,D.C,로얄 꺄르르,2023-03-19 01:47:30,로열 꺄르르,['로열'],163.317
5490,M&M Texas,5분 밖에 없는데…..:loudly_crying_face:,2023-03-19 01:47:30,5분 밖에 없는데 loudlycryingface,[],163.317
5491,island,월클 에메르송 나오는겨? ㅎ,2023-03-19 01:47:32,월크 에메르송 나오는 거야 ,"['월', '에메르송']",163.35
5492,논두렁,센트백 넘 약하죠,2023-03-19 01:47:32,센트 백 너무 약하죠,"['센트', '백']",163.35
5493,최상환,왜 포로야~~~~,2023-03-19 01:47:32,왜 포로야,"['왜', '포로']",163.35
5494,롱찌,포로 ㅊㅋㅊㅋ 쏘니한테 잘해라,2023-03-19 01:47:33,포로  쏘니한테 잘해라,['포로'],163.367
5495,라,사르,2023-03-19 01:47:36,사르,['사르'],163.417
5496,원금주,포로 잘했어 :thumbs_up:,2023-03-19 01:47:37,포로 잘했어 thumbsup,['포로'],163.433
5497,신유현,주심 존나 개빡치네,2023-03-19 01:47:37,주심 존나 개화 나네,"['주심', '존나', '개화']",163.433
5498,Mas Bambang,100골 나오기 힘드네요 ^^ ,2023-03-19 01:47:39,100골 나오기 힘드네요  ,['골'],163.467
5499,CH405,위약금 때매 계약 기간 다 채울거에요. ,2023-03-19 01:47:40,위약금 땜에 계약 기간 다 채울 거예요 ,"['위약금', '땜', '계약', '기간', '거']",163.483
5500,장현호,콘테 다시는 보지말자,2023-03-19 01:47:41,콩테 다시는 보지 말자,"['콩테', '보지', '말']",163.5
5501,봄비,3골이나 나왔는데 쏘니 골이 없다 ㅜㅜㅜ,2023-03-19 01:47:43,3골이나 나왔는데 쏘니 골이 없다 ,"['골', '골']",163.533
5502,M&M Texas,가지 전까지 분탕치고 가네요!!,2023-03-19 01:47:47,가지 전까지 분탕치고 가네요,"['가지', '전', '분탕']",163.6
5503,kim 지민,:face_screaming_in_fear:콘테 또 점수지키기 ㅠㅠ :face_screaming_in_fear: 공격이 또다른수비다....ㅠ,2023-03-19 01:47:47,facescreaminginfear 콩테 또 점수 지키기  facescreaminginfear 공격이 또 다른 수비다,"['콩테', '또', '점수', '공격', '또', '다른', '수비']",163.6
5504,j.p,콘테 420억 소리 나오지 않음 않가요,2023-03-19 01:47:47,콩테 420억 소리 나오지 않음 안 가요,"['콩테', '소리', '안', '가요']",163.6
5505,양선희,아니 포로를 왜 빼나요? 아우~ 진짜~ 콘대 진짜 시르다,2023-03-19 01:47:47,아니 포로를 왜 빼나요 아우 진짜 콘데 진짜 싫다,"['포로', '왜', '아우', '진짜', '콘데', '진짜']",163.6
5506,Alice,오늘 100호 어렵나봐요,2023-03-19 01:47:51,오늘 100호 어렵나 봐요,"['오늘', '호']",163.667
5507,김정일,콘테갈때 페리시치도 데리고 가라,2023-03-19 01:47:56,콩테 갈 때 페리 시침도 데리고 가라,"['콩테', '때', '페리', '시침', '데리', '가라']",163.75
5508,롱찌,쏜나골을 알거든,2023-03-19 01:47:56,쏜자 골을 알거든,['골'],163.75
5509,D.C,이대로 굳히기 가네 ,2023-03-19 01:47:56,이대로 굳히기 가네 ,[],163.75
5510,킴 릴리,너무늦지않았나??!,2023-03-19 01:48:03,너무 늦지 않았나,[],163.867
5511,새우깡,콘테,2023-03-19 01:48:03,콩테,['콩테'],163.867
5512,롱찌,셉셉이 아파서그럼,2023-03-19 01:48:05,셉셉이 아파서 그럼,[],163.9
5513,Mas Bambang,남은 시간 소농민 가즈아:fire:,2023-03-19 01:48:05,남은 시간 소농민 가즈아 fire,"['시간', '농민', '가즈']",163.9
5514,장현호,ㅋㅋㅋㅋㅋㅋ콘테 붕어아이큐 인가?,2023-03-19 01:48:08,콩테 붕어 아이큐 인가,"['콩테', '붕어', '아이큐']",163.95
5515,송효주,페리는 왜안빼냐고,2023-03-19 01:48:12,페리는 왜 안 빼냐고,"['페리', '왜', '안']",164.017
5516,편형숙,쏘니100호골 가자~,2023-03-19 01:48:13,쏘니 100호 골 가자,"['호', '골']",164.033
5517,김정일,콘테갈때 페리시치도 데리고 가라,2023-03-19 01:48:17,콩테 갈 때 페리 시침도 데리고 가라,"['콩테', '때', '페리', '시침', '데리', '가라']",164.1
5518,원금주,사르야 쏘니골 어시해주라!,2023-03-19 01:48:22,사르야 쏘이니 골 어시 해주라,"['사르', '골', '어시', '해주']",164.183
5519,yh bae,페를안빼고 클루는왜 빼,2023-03-19 01:48:23,페를 안 빼고 클루는 왜 빼,"['페', '안', '클루', '왜', '빼']",164.2
5520,(빡e),쏘니 100골 가즈아,2023-03-19 01:48:25,쏘니 100골 가즈아,"['골', '가즈']",164.233
5521,새우깡,케인아 자리좀 바꿔줘라,2023-03-19 01:48:26,케인아 자리 좀 바꿔줘라,"['케인', '자리', '좀']",164.25
5522,Alice,교체로 들어간 페리는 왜 안나와요,2023-03-19 01:48:26,교체로 들어간 페리는 왜 안 나와요,"['교체', '페리', '왜', '안']",164.25
5523,장현호,걍 둘이 결혼해라,2023-03-19 01:48:26,그냥 둘이 결혼해라,"['그냥', '둘', '결혼']",164.25
5524,서유미,형숙님 어서오세요,2023-03-19 01:48:27,형숙 님 어서 오세요,"['형숙', '어서']",164.267
5525,롱찌,페리는 안아퍼요,2023-03-19 01:48:31,페리는 안 아파요,"['페리', '안']",164.333
5526,M&M Texas,페리가 들어와서 다 깽판치네,2023-03-19 01:48:35,페리가 들어와서 다 깽판 치네,"['페리', '깽판']",164.4
5527,Thsgmdasthsl7,포로 오늘 잘했어요,2023-03-19 01:48:37,포로 오늘 잘했어요,"['포로', '오늘']",164.433
5528,KING FC,호이비 롱패스 손 골,2023-03-19 01:48:37,호이니 롱패스 손 골,"['호', '롱', '패스', '손', '골']",164.433
5529,김진규,곧 쏘니타임~,2023-03-19 01:48:41,곧 쏘니 타임,"['곧', '타임']",164.5
5530,양선희,에고~ 시간이 얼마 없네요^^ 쏘니 화이팅!!,2023-03-19 01:48:44,에고 시간이 얼마 없네요 쏘니 파이팅,"['에고', '시간', '얼마', '파이팅']",164.55
5531,김정일,콘테갈때 페리시치도 데리고 가라,2023-03-19 01:48:45,콩테 갈 때 페리 시침도 데리고 가라,"['콩테', '때', '페리', '시침', '데리', '가라']",164.567
5532,히나노 히메노,그래도 손흥민은 대한민국의 자랑~,2023-03-19 01:48:51,그래도 손흥민은 대한민국의 자랑,"['손흥민', '대한민국', '자랑']",164.667
5533,M&M Texas,토트넘은 케인위주,2023-03-19 01:48:53,토트넘은 케인 위주,"['토트넘', '케인', '위주']",164.7
5534,Alice,얼굴은 아픈거 같은데,2023-03-19 01:48:54,얼굴은 아픈 거 같은데,"['얼굴', '거']",164.717
5535,Thsgmdasthsl7,페리 한골 넣었으니 조용히 교체하자,2023-03-19 01:48:54,페리 한골 넣었으니 조용히 교체하자,"['페리', '골', '교체']",164.717
5536,한승원,페리 후반언제들왔나요? 역쉬나 들왔네요ㅠ,2023-03-19 01:48:54,페리 후반 언제들 왔나요 역 쉬나 들왔네요,"['페리', '후반', '언제', '역', '쉬']",164.717
5537,댓s,사샘한테 두골 먹힌거부터가 수비문제 고질이네요,2023-03-19 01:48:54,사생한테 두골 먹힌 거부터가 수비 문제 고질이네요,"['사생', '골', '거', '수비', '문제', '고질', '요']",164.717
5538,a small scent of emotion,페리시치가 교체선수인데 교체안하냐고? ,2023-03-19 01:48:54,페리 시차가 교체 선수인데 교체 안 하냐고 ,"['페리', '시차', '교체', '선수', '교체', '안']",164.717
5539,(빡e),하필 넣어도 페리시키가 넣노 ㅡㅡ,2023-03-19 01:48:55,하필 넣어도 페리 시기가 넣노 ,"['하필', '페리', '시기']",164.733
5540,hjh,"페리시치가 골 넣어서 그런가? 왜이렇게 기분이 나쁘지요,?ㅠㅠ",2023-03-19 01:48:55,페리 시차가 골 넣어서 그런가 왜 이렇게 기분이 나쁘지요,"['페리', '시차', '골', '런가', '왜', '기분']",164.733
5541,서유미,빛소리님 어서오세요,2023-03-19 01:48:56,빛소리님 어서 오세요,"['빛', '소리', '어서']",164.75
5542,이윤희,콘테야 쏘니생각 좀 해라 제발,2023-03-19 01:48:57,콩테야 쏘니 생각 좀 해라 제발,"['콩테', '생각', '좀', '해', '제발']",164.767
