,id,comment,time,corrected_comment,nouns,time_minutes
1888,보배,박수 무승부,2023-02-20 02:24:16,박수 무승부,"['박수', '무승부']",106.833
1889,일루왕,레스도 슬슬 축구할 나이가 됐네요.,2023-02-20 02:24:18,레스도 슬슬 축구할 나이가 됐네요,"['레스', '슬슬', '축구', '나이']",106.867
1890,아동석,믿었던 쎕쎕이 너 마저 크로스질이냐? 똑바로 안하냐?,2023-02-20 02:24:18,믿었던 쎕쎕이 너마저 크로스진이냐 똑바로 안 하냐,"['너마저', '크로스', '진', '똑바로', '안']",106.867
1891,황박연,김마야님 레스 여자친구 구해 줘야 하겠는걸?ㅎㅎㅎ,2023-02-20 02:24:25,김 나야 님 레스 여자친구 구해 줘야 하겠는걸,"['김', '나야', '레스', '여자친구', '구해']",106.983
1892,새우깡,쌥쌥이두 별루던데 ~~~경기가 노잼,2023-02-20 02:24:25,쌥쌥이두 별로던데 경기가 나 잼,"['쌥쌥이', '별로', '던데', '경기', '나', '잼']",106.983
1893,The Badman,선 오늘 70분쯤에 들어갈것 같네여,2023-02-20 02:24:27,선 오늘 70분쯤에 들어갈 것 같네요,"['선', '오늘', '것']",107.017
1894,KYU YANG,페리도 그렇지만 케인의 어시스트도 아쉬운 부분입니다,2023-02-20 02:24:29,페리노 그렇지만 케인의 어시스트도 아쉬운 부분입니다,"['페리', '노', '케인', '어시스트', '부분']",107.05
1895,말티푸,콘테가 페리랑 손잡고 도피하지...,2023-02-20 02:24:34,콩테가 페리랑 손잡고 도피하지,"['콩테', '페리', '도피']",107.133
1896,함재현,웨스트햄 완전 약한팀에 코치놈 이해못하겠네 흥민이 빼고 ㅜㅜ,2023-02-20 02:24:37,웨스트햄 정말 약한 팀에 코치 놈 이해 못 하겠네 흥민이 빼고 ,"['웨스트햄', '정말', '팀', '코치', '놈', '이해', '못', '흥민']",107.183
1897,최성균,레쓰 식스맨하고 불만없지요.,2023-02-20 02:24:38,레스 식스맨하고 불만 없지요,"['레스', '식스', '맨', '불만']",107.2
1898,vnanzmf07,쏜 흥 나와라,2023-02-20 02:24:40,쏜 흥 나와라,"['흥', '나와라']",107.233
1899,이순신,흥민이 100골달성을 막을라고 작정을 했구만....,2023-02-20 02:24:40,흥민이 100골 달성을 막을라고 작정을 했구먼,"['흥민', '골', '달성', '작정']",107.233
1900,김마야📣,그것까지 하라고? ㅋㅋㅋ,2023-02-20 02:24:43,그것까지 하라고 ,"['그것', '하라']",107.283
1901,사카린짱은 이미 다 알고 있다능,어차피 지금 공미 없어서 케인이 볼배급 못하면 망하는건 똑같습니다...,2023-02-20 02:24:44,어차피 지금 공미 없어서 케인이 볼 배급 못하면 망하는 건 똑같습니다,"['어차피', '지금', '공', '케인', '볼', '배급', '건']",107.3
1902,Happy금강,교체투입 후 또 해트트릭 손흥민,2023-02-20 02:24:44,교체 투입 후 또 해트트릭 손흥민,"['교체', '투입', '후', '또', '해트트릭', '손흥민']",107.3
1903,송효주,뭔소리야?ㅁㅊ,2023-02-20 02:24:45,뭔 소리야,['소리'],107.317
1904,sang funny,방장님 크라우치 닮맜음,2023-02-20 02:24:45,방장님 크라우치 닮맜음,"['방장', '크라우치', '닮맜음']",107.317
1905,철기둥,가족은 파는게 아닙니다...ㅠㅠ,2023-02-20 02:24:48,가족은 파는 게 아닙니다,"['가족', '게']",107.367
