67,일루왕,어제 손흥민의 슛장면으로 맨시티선수들 모여서 인터뷰하는게 있더라구요. 재밌었어요. 그릴리쉬 홀란드도 보고 칭찬하더라구요. ㅎㅎ,2023-01-30 04:39:55
68,황박연,감자공주 = 김마야!^^*,2023-01-30 04:39:55
69,양산메퇘지,리버풀 몰락했네,2023-01-30 04:40:02
70,한동훈,오래만에 나폴리 경기를 보네요,2023-01-30 04:40:08
71,김마야📣,ㅋㅋㅋ,2023-01-30 04:40:11
72,양산메퇘지,슬프네요,2023-01-30 04:40:13
73,황박연,리밥풀이 뭐 그렇죠 뭐 ㅎㅎㅎ,2023-01-30 04:40:20
74,김마야📣,고향이 강원도라고 감자공주라네요 ㅋㅋ,2023-01-30 04:40:35
75,양산메퇘지,골가뭄 ㅋㅋㅋㅋㅋ,2023-01-30 04:40:41
76,황박연,리밥풀이 질꺼라 예상 했었음 ㅎㅎㅎ,2023-01-30 04:40:42
77,황박연,사수올로 승리도 맞추고 ㅎㅎㅎ,2023-01-30 04:40:53
78,황박연,다만 유벤투스가 설마 지겠어? 했는데 유벤까지 ㅋㅋㅋ,2023-01-30 04:41:19
79,한동훈,식스맨님 토트넘 fa컵 우승 할수 있나요?,2023-01-30 04:41:22
80,김마야📣,일루왕:angry_face:,2023-01-30 04:41:22
81,일루왕,절루강,2023-01-30 04:41:32
82,황박연,김마야님 그게 아니고 ,2023-01-30 04:41:45
83,한동훈,나폴리 ㅎㅇㅌ,2023-01-30 04:41:49
84,김마야📣,대장님은 점쟁이가 아녜요 ㅋㅋ,2023-01-30 04:41:58
85,황박연,일상님이 감자 얘기 할때 붙은 별명 아님?ㅎㅎㅎ,2023-01-30 04:42:01
86,rimus P,안녕하세요!,2023-01-30 04:42:11
87,김마야📣,아닌데,2023-01-30 04:42:19
88,일루왕,나폴리 가즈아아아아아아아아아아아!!!!,2023-01-30 04:42:20
89,황박연,요즘 일상님 어디갔음?,2023-01-30 04:42:22
90,유영만,안녕하세요,2023-01-30 04:42:26
91,Percent One,얘넨 무슨 축구를 9시에 함??? ,2023-01-30 04:42:27
92,일루왕,우주의 기운이 모였다아아!!,2023-01-30 04:42:31
93,황박연,일상님도 보고싶은데 ㅎㅎㅎ,2023-01-30 04:42:32
94,황박연,레아언니도 요즘 왜 안옴?,2023-01-30 04:42:45
95,김마야📣,일상님은 일탈중,2023-01-30 04:42:46
96,황박연,슬슬 비너스님 깨우세요^^*,2023-01-30 04:43:09
97,일루왕,우주의 기운을 몰고오는 김민재선수,2023-01-30 04:43:22
98,한동훈,오늘부터 마스크 안써도 돼요,2023-01-30 04:43:25
99,골기퍼#1,안녕하십니까~ 오랜만에 카톡에서 실시간 방송에 방문 하빈다!,2023-01-30 04:43:32
100,골기퍼#1,합니다!,2023-01-30 04:43:35
101,일루왕,원금주렐루야님 어디가셨나요~,2023-01-30 04:43:36
102,김마야📣,오늘은 비너쮸 못오겠쪄?,2023-01-30 04:43:37
103,황박연,민재덕에 나폴리 선수들 몸값다 치솟음 ㅎㅎㅎ,2023-01-30 04:43:40
104,김마야📣,골키퍼님~~:heart_suit:,2023-01-30 04:43:49
105,한동훈,골기퍼님 어서오세요,2023-01-30 04:43:51
106,일루왕,어섭셔 골기퍼님!!,2023-01-30 04:43:53
107,골기퍼#1,마야님~~ 안녕하세요!,2023-01-30 04:44:01
108,황박연,우왕~~~,2023-01-30 04:44:07
109,골기퍼#1,동훈님 안녕하세요!!,2023-01-30 04:44:09
110,황박연,울 골키퍼님~~~~~~~~~~~~~~~~~^^*,2023-01-30 04:44:14
111,골기퍼#1,일루왕님 안녕하세요!,2023-01-30 04:44:15
112,kim 지민,안녕하세용 ~~^^♡,2023-01-30 04:44:18
