,minutes,id,comment,time,time_minutes,corrected_comment,nouns,nouns_filtered,nouns_filtered_flatten,event,comment_cnt
0,0,['h2 J'],['12시 하네...'],['2023-03-18 23:04:11'],[0.0],['12시 하네'],['[]'],[[]],[],0.0,1
1,8,['Ugyu Ahn'],['가즈아'],['2023-03-18 23:12:27'],[8.267],['가즈아'],"[""['가즈']""]",[['가즈']],['가즈'],0.0,1
2,25,['샤프슈터'],['오늘 100호골 넣겠네'],['2023-03-18 23:30:10'],[25.983],['오늘 100호 골 넣겠네'],"[""['오늘', '호', '골']""]","[['오늘', '골']]","['오늘', '골']",0.0,1
3,28,"['송효주', '💫지란지교를 꿈꾸며ᆢ', '식스맨TV축구해설']","['안녕하세요', '선발 라인업 띠워라 오바', '라인업 - 케인 손흥민 히샬리송 데이비스 포로 호이비에르 스킵 랑글레 다이어 로메로 포스터']","['2023-03-18 23:32:34', '2023-03-18 23:33:02', '2023-03-18 23:33:06']","[28.383, 28.85, 28.917]","['안녕하세요', '선발 라인업 띠워라 오버', '라인업  케인 손흥민 히샬리송 데이비스 포로 호이지에 르 스킵 랑글레 다이어 로메로 포스터']","['[]', ""['선발', '라인업', '띠워', '오버']"", ""['라인업', '케인', '손흥민', '히샬리송', '데이비스', '포로', '호', '이지', '르', '스킵', '랑글레', '로메', '포스터']""]","[[], ['선발', '라인업'], ['라인업', '케인', '손흥민', '히샬리송', '데이비스', '포로', '이지', '스킵', '랑글레', '로메', '포스터']]","['선발', '라인업', '라인업', '케인', '손흥민', '히샬리송', '데이비스', '포로', '이지', '스킵', '랑글레', '로메', '포스터']",0.0,3
4,30,['💫지란지교를 꿈꾸며ᆢ'],['wow 페리카나 벤치 :dolphin::dolphin::dolphin:'],['2023-03-18 23:34:14'],[30.05],['wow 페리카나 벤치 dolphindolphindolphin'],"[""['페리', '카나', '벤치']""]","[['페리', '카나', '벤치']]","['페리', '카나', '벤치']",0.0,1
5,34,['venus1218'],['페리시치 없으니 100골 예상이요'],['2023-03-18 23:38:58'],[34.783],['페리시치 없으니 100골 예상이요'],"[""['페리', '치', '골', '상이']""]","[['페리', '골']]","['페리', '골']",0.0,1
6,37,"['💫지란지교를 꿈꾸며ᆢ', '식스맨TV축구해설', '식스맨TV축구해설', '시네마멘']","['음 102 골', '욕심없이 한골만~~~~터져주기를^^', '스트리밍은 4분뒤에 시작하겠습니다', '식하']","['2023-03-18 23:41:21', '2023-03-18 23:41:45', '2023-03-18 23:41:57', '2023-03-18 23:41:59']","[37.167, 37.567, 37.767, 37.8]","['음 102 골', '욕심 없이 한 골만 터져주기를', '스트리밍은 4분 뒤에 시작하겠습니다', '지하']","[""['음', '골']"", ""['욕심', '골', '주기']"", ""['스트리밍', '뒤', '시작']"", ""['지하']""]","[['골'], ['욕심', '골'], ['시작'], []]","['골', '욕심', '골', '시작']",0.0,4
7,38,['샤프슈터'],['한골도 잘한거죠 요즘 폼만 봐서는'],['2023-03-18 23:42:24'],[38.217],['한 골도 잘한 거죠 요즘 폼만 봐서는'],"[""['골도', '거', '요즘', '폼']""]",[['요즘']],['요즘'],0.0,1
8,39,"['💫지란지교를 꿈꾸며ᆢ', '💫지란지교를 꿈꾸며ᆢ']","['102 골 ㅡㅡ 손까들 꺼져', '손 포트트릭 모르 시나요']","['2023-03-18 23:43:12', '2023-03-18 23:43:58']","[39.017, 39.783]","['102 골  손까들 꺼져', '손 포트 트릭 모르 시나요']","[""['골', '손']"", ""['손', '포트', '트릭', '시나']""]","[['골'], []]",['골'],0.0,2
9,42,"['노래하는치킨너겟', '노래하는치킨너겟', '사자왕', '인절밍', 'kim jin sung', '서유미', '서유미', '일루왕', '인절밍', 'kim jin sung', 'Venus', '한동훈', '박종호', '서경원', '서유미', '임율', '일루왕']","['오~~~~~~~~~~~~', '시작이네요 ', '안녕하세요ㅡ 홧팅', '안녕하세요!!!ㅎㅎ', '안녕하세요', '식하', '방가방가', '안녕하심까아아아아아', '오늘은 제봘~!!!ㅎㅎㅋㅋㅋㅋ', '100호골 가즈아', '안녕하세요 :heart_suit:', '안녕하세요', '월드컵 4팀 12조로 확정되었습니다 어떤가요', '안녕하세요', '한동훈님 어서오세요', '식스맨님 안녕하세요', '사랑님 오셨습니까~']","['2023-03-18 23:46:30', '2023-03-18 23:46:36', '2023-03-18 23:46:41', '2023-03-18 23:46:44', '2023-03-18 23:46:44', '2023-03-18 23:46:45', '2023-03-18 23:46:49', '2023-03-18 23:46:51', '2023-03-18 23:46:53', '2023-03-18 23:46:55', '2023-03-18 23:46:55', '2023-03-18 23:46:57', '2023-03-18 23:47:01', '2023-03-18 23:47:06', '2023-03-18 23:47:07', '2023-03-18 23:47:08', '2023-03-18 23:47:08']","[42.317, 42.417, 42.5, 42.55, 42.55, 42.567, 42.633, 42.667, 42.7, 42.733, 42.733, 42.767, 42.833, 42.917, 42.933, 42.95, 42.95]","['오', '시작이네요 ', '안녕하세요 파이팅', '안녕하세요', '안녕하세요', '지하', '방가방가', '안녕하심까아아아아아', '오늘은 제봘', '100호 골 가즈아', '안녕하세요 heartsuit', '안녕하세요', '월드컵 4팀 12조로 확정되었습니다 어떤가요', '안녕하세요', '한동훈 님 어서 오세요', '식스맨님 안녕하세요', '사랑님 오셨습니까']","[""['오']"", ""['시작', '요']"", ""['파이팅']"", '[]', '[]', ""['지하']"", ""['방가', '방가']"", '[]', ""['오늘', '제봘']"", ""['호', '골', '가즈']"", '[]', '[]', ""['월드컵', '팀', '확정', '가요']"", '[]', ""['한동훈', '어서']"", ""['식스', '맨']"", ""['사랑']""]","[[], ['시작'], ['파이팅'], [], [], [], [], [], ['오늘'], ['골', '가즈'], [], [], ['월드컵'], [], ['어서'], ['식스'], ['사랑']]","['시작', '파이팅', '오늘', '골', '가즈', '월드컵', '어서', '식스', '사랑']",0.0,17
