,minutes,id,comment,time,time_minutes,corrected_comment,nouns,nouns_filtered,nouns_filtered_flatten,event,comment_cnt
0,0,['식스맨TV축구해설'],['라인업 - 케인 손흥민 클루셉스키 페리시치 호이비에르 스킵 포로 랑글레 다이어 로메로 요리스'],['2023-04-04 03:23:28'],[0.0],['라인업  케인 손흥민 클루셉스키 페리시치 호이지에 르 스킵 포로 랑글레 다이어 로메로 요리스'],"[""['라인업', '케인', '손흥민', '클루', '스키', '페리', '치', '호', '이지', '르', '스킵', '포로', '랑글레', '로메', '리스']""]","[['라인업', '케인', '손흥민', '페리', '이지', '스킵', '포로', '랑글레', '로메', '리스']]","['라인업', '케인', '손흥민', '페리', '이지', '스킵', '포로', '랑글레', '로메', '리스']",0.0,1
1,8,"['시네마멘', '송효주']","['식하', '요리스 나오네요']","['2023-04-04 03:31:29', '2023-04-04 03:32:14']","[8.017, 8.767]","['지하', '요리스 나오네요']","[""['지하']"", ""['리스']""]","[[], ['리스']]",['리스'],0.0,2
2,9,['식스맨TV축구해설'],['요리스 부상복귀했습니다.'],['2023-04-04 03:32:33'],[9.083],['요리스 부상 복귀했습니다'],"[""['리스', '부상', '복귀']""]","[['리스', '부상']]","['리스', '부상']",0.0,1
3,12,['황박연'],['울 식스맨님~~~~~~~~~~~~~~~~^^*'],['2023-04-04 03:36:27'],[12.983],['울 식스맨님'],"[""['울', '식스', '맨']""]",[['식스']],['식스'],0.0,1
4,13,['황박연'],['요리스가 토트놈 요리하러 나오나요?ㅎㅎ'],['2023-04-04 03:37:05'],[13.617],['요리스가 토트 놈 요리하러 나오나요'],"[""['리스', '토트', '놈', '요리']""]","[['리스', '토트']]","['리스', '토트']",0.0,1
5,14,['황박연'],['이리 오너라~~~ 게 아무도 없느냐~~~^^*'],['2023-04-04 03:38:11'],[14.717],['이리 오너라 게 아무도 없느냐'],"[""['너', '게', '아무']""]",[[]],[],0.0,1
6,15,"['식스맨TV축구해설', '황박연']","['45분이후에 스트리밍 진행하니다^^', '^^*']","['2023-04-04 03:39:16', '2023-04-04 03:39:27']","[15.8, 15.983]","['45분 이후에 스트리밍 진행 하니다', nan]","[""['이후', '스트리밍', '진행', '하니']"", '[]']","[[], []]",[],0.0,2
7,17,"['송효주', '황박연', '송효주', '황박연']","['ㅋ', '효주님 방긋요~~^^*', '방갑습니다', '네^^*']","['2023-04-04 03:40:51', '2023-04-04 03:41:11', '2023-04-04 03:41:20', '2023-04-04 03:41:27']","[17.383, 17.717, 17.867, 17.983]","[nan, '효주 님 방긋요', '반갑습니다', '네']","['[]', ""['효주', '방긋']"", '[]', ""['네']""]","[[], [], [], []]",[],0.0,4
8,18,"['송효주', '황박연', '황박연', '송효주', '황박연']","['100골달성 기원합니다', '저두용~~^^*', '오늘 흥민이만 3골 넣길 바라옵니다^^*', '제발', '아무도 못넣고 말이죠^^*']","['2023-04-04 03:41:45', '2023-04-04 03:41:53', '2023-04-04 03:42:07', '2023-04-04 03:42:14', '2023-04-04 03:42:24']","[18.283, 18.417, 18.65, 18.767, 18.933]","['100골 달성 기원합니다', '저도 용', '오늘 흥민이만 3골 넣길 바라옵니다', '제발', '아무도 못 넣고 말이죠']","[""['골', '달성', '기원']"", ""['저', '용']"", ""['오늘', '흥민', '골']"", ""['제발']"", ""['아무', '못', '말']""]","[['골', '달성', '기원'], [], ['오늘', '흥민', '골'], ['제발'], []]","['골', '달성', '기원', '오늘', '흥민', '골', '제발']",0.0,5
9,19,"['송효주', '황박연', '송효주', '황박연']","['저두용:red_heart:', '역시 울 패밀리는 이심전심^^*', '쏘니는 사랑 입니다ㅎ', '흥민이 시원스런 원더골이 너무 보고싶으당^^*']","['2023-04-04 03:42:30', '2023-04-04 03:42:47', '2023-04-04 03:43:08', '2023-04-04 03:43:17']","[19.033, 19.317, 19.667, 19.817]","['저도 용 redheart', '역시 울 패밀리는 이심전심', '쏘니는 사랑입니다', '흥민이 시원스러운 원더 골디 너무 보고 싶어 당']","[""['저', '용']"", ""['역시', '울', '패밀리', '이심전심']"", ""['사랑']"", ""['흥민', '원더', '골디', '보고', '당']""]","[[], ['역시'], ['사랑'], ['흥민', '보고']]","['역시', '사랑', '흥민', '보고']",0.0,4
