,id,comment,time,corrected_comment,nouns,time_minutes
1707,그루송이,손케듀오 부탁해요,2023-03-02 06:17:38,손해 듀오 부탁해요,"['손해', '듀오', '부탁']",116.033
1708,황박연,히살리송 스스로 하품 증명! ㅎㅎㅎ,2023-03-02 06:17:39,히 살리 송 스스로 하품 증명 ,"['송', '스스로', '하품', '증명']",116.05
1709,CCJ59,흥민아 페리옹 들어오면 걍 걸어다녀라~ 힘빼지 말고.,2023-03-02 06:17:41,흥민아 페리온 들어오면 그냥 걸어 다녀라 힘 빼지 말고,"['흥', '민아', '페리', '온', '그냥', '힘']",116.083
1710,불잔슨,히샬 박수 받을 자격도 없음 ㅋㅋ,2023-03-02 06:17:45,히샬 박수받을 자격도 없음 ,"['히샬', '박수', '자격']",116.15
1711,롱찌,히샬도 이렇게 기회가 주어질때 뭔가 보여줘야될텐데ㅜ,2023-03-02 06:17:47,히 살도 이렇게 기회가 주어질 때 뭔가 보여줘야 될 텐데,"['살', '기회', '때', '뭔가']",116.183
1712,이겼다,히살 너는 맨유를 가라 그럼 날아다닌다,2023-03-02 06:17:51,히 살 너는 맨유를 가라 그럼 날아다닌다,"['살', '너', '맨유', '가라']",116.25
1713,vnanzmf07,그래 손케가 그나마 골확률이 높자,2023-03-02 06:17:51,그래 손해가 그나마 골 확률이 높자,"['손해', '골', '확률']",116.25
1714,박순성,페리도빼야지,2023-03-02 06:17:52,피리도 빼야지,['피리'],116.267
1715,vnanzmf07,불쌍 히샬,2023-03-02 06:17:58,불쌍 히샬,"['불쌍', '히샬']",116.367
1716,노을H,해샬리숑도 참 답답한지 어렵네요 어려워~~~~~~,2023-03-02 06:17:59,해샬리숑도 참 답답한지 어렵네요 어려워,['해샬리숑'],116.383
1717,후쿠루,와 이조합 얼마만이냐,2023-03-02 06:18:00,와 이 조합 얼마 만이냐,"['이', '조합', '얼마', '만이']",116.4
1718,설천심,페리시치좀 빼라~ 제발~,2023-03-02 06:18:01,페리시리 좀 빼라 제발,"['페리', '시리', '좀', '빼', '제발']",116.417
1719,vnanzmf07,더 커야해,2023-03-02 06:18:02,더 커야 해,"['더', '해']",116.433
1720,전범기 👎반대,히샬이 그래도 무려 브라질 국가대표팀 주전 공격수 아니요??,2023-03-02 06:18:04,히설이 그래도 무려 브라질 국가대표팀 주전 공격수 아니요,"['설', '무려', '브라질', '국가대표팀', '주전', '공격수']",116.467
1721,FineCool,케인은 이케 빨리 넣으면서...,2023-03-02 06:18:04,케인은 이케 빨리 넣으면서,"['케인', '이케']",116.467
1722,안길산,케인 10번자리 가야 손흥민 골 나온다,2023-03-02 06:18:06,케인 10번 자리 가야 손흥민 골 나온다,"['케인', '번', '자리', '가야', '손흥민', '골']",116.5
1723,냥이는 부지런하다,구관이 명관 손테모 가즈아~,2023-03-02 06:18:13,구관이 명관 손 테모 가즈아,"['구관', '명관', '손', '테모', '가즈']",116.617
1724,신승훈,역시 세필드 유나이티드 만만한 팀이 이니였어요,2023-03-02 06:18:17,역시 세필드 유나이티드 만만한 팀이 이니였어요,"['역시', '필드', '유나이티드', '팀']",116.683
1725,노이즈TV NoiseTV,안녕하세요~^^,2023-03-02 06:18:21,안녕하세요,[],116.75
1726,최재호,왕중의왕 나왔더,2023-03-02 06:18:28,왕 중의 왕 나왔다,"['왕', '중', '왕']",116.867
1727,이기훈8,다이어 진짜,2023-03-02 06:18:30,다이어 진짜,['진짜'],116.9
1728,롱찌,그래도 히샬은 페리처럼 밉상은아님,2023-03-02 06:18:32,그래도 히설은 페리처럼 밉상은 아님,"['페리', '상']",116.933
1729,한동훈,식스맨님 강아지 자고 있나요?,2023-03-02 06:18:34,식스맨님 강아지 자고 있나요,"['식스', '맨', '강아지', '자고']",116.967
